transactionid,trade_time,total_price,house_id,agent_id
2.02E+11,20160703,489,600625,11979
2.02E+11,20160727,411,600626,11979
2.02E+11,20160819,365,600627,11979
2.02E+11,20160821,347,800628,11222
2.02E+11,20160926,428,800629,11289
2.02E+11,20160928,497,700630,11289
2.02E+11,20161107,494,700631,11289
2.02E+11,20161125,665,400632,11289
2.02E+11,20160805,573,400633,10275
2.02E+11,20160804,477,400634,10009
2.02E+11,20160728,358,900635,10009
2.02E+11,20160619,536.5,800636,10918
2.02E+11,20160720,620,200637,10275
2.02E+11,20160711,275,300638,11979
2.02E+11,20160712,400,800639,11979
2.02E+11,20160731,490,600640,11979
2.02E+11,20160804,650,200641,11979
2.02E+11,20160718,290,700642,11647
2.02E+11,20160726,469,700643,11979
2.02E+11,20160726,395,900644,11979
2.02E+11,20160619,246,900645,10918
2.02E+11,20160629,176,100646,10918
2.02E+11,20160630,160,400647,10918
2.02E+11,20160706,204.5,600648,10918
2.02E+11,20160703,177,400649,12074
2.02E+11,20160618,406,800650,11979
2.02E+11,20160622,420,800651,11979
2.02E+11,20160615,520,600652,10009
2.02E+11,20160731,375,600653,11647
2.02E+11,20160716,216,400654,11979
2.02E+11,20160721,226,400655,11979
2.02E+11,20160616,270,900656,11009
2.02E+11,20160714,202,900657,11647
2.02E+11,20160628,391,400658,12074
2.02E+11,20160629,566,200659,10555
2.02E+11,20160630,355,600660,10555
2.02E+11,20160908,570,900661,10275
2.02E+11,20160629,216,500662,10275
2.02E+11,20160715,506,200663,11647
2.02E+11,20160926,720,600664,10445
2.02E+11,20161013,570,100665,10107
2.02E+11,20161224,150,500666,10870
2.02E+11,20160823,360,100667,10804
2.02E+11,20160824,289,600668,10870
2.02E+11,20160914,1156,700669,10445
2.02E+11,20161028,520,800670,10870
2.02E+11,20160830,315,600671,11108
2.02E+11,20160914,339,300672,10107
2.02E+11,20161030,427,100673,10445
2.02E+11,20160804,438,100674,11108
2.02E+11,20160827,382.8,200675,10804
2.02E+11,20160830,410,200676,10804
2.02E+11,20160909,485,100677,10870
2.02E+11,20160923,454.5,100678,10107
2.02E+11,20161019,470,900679,10107
2.02E+11,20161029,445,600680,10870
2.02E+11,20160717,319,900681,12194
2.02E+11,20160810,177,300682,12147
2.02E+11,20160810,405,200683,11108
2.02E+11,20160812,390,500684,11108
2.02E+11,20160708,400,800685,11108
2.02E+11,20160711,208,900686,11108
2.02E+11,20160727,215,700687,11108
2.02E+11,20160731,327,900688,11108
2.02E+11,20160808,335,300689,11108
2.02E+11,20160820,310,900690,10107
2.02E+11,20160927,475,700691,10804
2.02E+11,20160928,457,900692,10870
2.02E+11,20160629,735,100693,12147
2.02E+11,20160710,735,300694,11108
2.02E+11,20160712,585,600695,12194
2.02E+11,20160810,725,500696,10107
2.02E+11,20160824,920,700697,10804
2.02E+11,20160828,1340,400698,10804
2.02E+11,20161114,1000,300699,10804
2.02E+11,20161117,705,100700,10870
2.02E+11,20161021,87.6,100701,12194
2.02E+11,20160619,226,300702,11108
2.02E+11,20160727,200,400703,10107
2.02E+11,20160905,117,700704,10107
2.02E+11,20160925,290,800705,10107
2.02E+11,20160929,314,700706,10107
2.02E+11,20161106,129.5,300707,10107
2.02E+11,20161206,140,200708,10107
2.02E+11,20161219,326,200709,10804
2.02E+11,20161223,310,400710,10804
2.02E+11,20170109,348,200711,10870
2.02E+11,20160723,760,400712,11108
2.02E+11,20160917,848,500713,10804
2.02E+11,20160923,518,500714,10804
2.02E+11,20161004,870,500715,10804
2.02E+11,20160703,968,800716,12194
2.02E+11,20160707,945,500717,12194
2.02E+11,20160704,562,600718,12147
2.02E+11,20160710,363,300719,12147
2.02E+11,20160710,200,400720,12147
2.02E+11,20160729,722,500721,12147
2.02E+11,20161006,645,600722,10107
