"r$house.id","r$square","house_type.id","buildingType","constructionTime","renovationCondition","floor","ladderRatio","as.character(r$cjxiaoqu)"
430473,58.83,2111,4,1983,3,6,0.5,"陶然北岸"
130474,61.01,2111,4,1992,4,6,0.5,"陶然北岸"
430475,61.01,2111,4,1992,4,6,0.5,"陶然北岸"
930476,57.06,2111,4,1984,4,6,0.333,"陶然北岸"
830477,78.1,3111,1,1987,3,18,0.286,"陶然北岸"
230478,62.99,3111,4,1984,4,6,0.5,"陶然北岸"
430479,65.61,2111,4,1990,3,6,0.1,"陶然北岸"
330480,62.04,3111,4,1983,3,6,0.5,"陶然北岸"
330481,59,3111,4,1983,3,5,0.333,"城市涧"
130482,49.61,2111,4,1981,3,5,0.333,"城市涧"
130483,88.45,3212,4,2001,4,7,0.333,"和街十三区"
230484,117.2,3212,1,2003,4,16,0.286,"蒲安里"
230485,81,3111,4,1995,1,6,0.5,"首座绿洲"
330486,58.9,2111,4,1990,4,7,0.5,"福臻家园"
230487,108.13,3212,4,2007,3,6,0.5,"芳群园四区"
930488,53.9,2111,4,1982,3,6,0.333,"芳星园二区"
530489,100,4211,4,2011,1,9,0.5,"青秀城"
930490,54.87,1111,1,1999,1,22,0.182,"芳群园三区"
730491,58.11,1111,1,2002,3,18,0.182,"芳群园三区"
930492,46.8,1111,4,2006,3,16,0.5,"枫竹苑二区"
830493,124.64,3112,4,2006,4,6,0.5,"丽水园"
730494,76.7,3111,4,1993,3,6,0.5,"恋日嘉园一期"
430495,40.24,1111,4,1987,4,6,0.333,"恋日嘉园一期"
230496,57,2111,4,1987,3,6,0.333,"恋日嘉园一期"
230497,56.1,2111,4,1987,3,6,0.5,"恋日嘉园一期"
930498,83.17,2111,4,1995,4,6,0.5,"刘家窑南里"
230499,67,2111,4,2003,4,6,0.333,"芳星园一区"
330500,96.14,3212,4,1996,3,6,0.5,"椿树园"
730501,52.09,1111,3,2000,3,8,0.333,"风景club"
330502,102,2211,4,2000,1,7,0.5,"风景club"
630503,69.09,2111,4,1996,3,6,0.5,"芳城园三区"
630504,68.44,2111,4,1996,3,6,0.5,"芳城园三区"
430505,80.98,3111,4,1996,4,6,0.5,"芳城园三区"
330506,122,3212,4,2010,4,10,0.5,"芳古园二区"
730507,127.99,2212,1,2005,1,22,0.375,"明日嘉园"
530508,69.36,2111,4,1992,3,6,0.333,"四园"
830509,61.16,2111,4,1994,4,6,0.5,"四园"
430510,57.55,2111,4,1991,4,6,0.333,"四园"
530511,64,2111,4,1996,1,5,0.5,"四园"
130512,61.16,2111,4,1994,3,6,0.5,"四园"
930513,66.83,2111,4,1981,4,5,0.5,"四园"
530514,64.71,2111,4,1993,4,6,0.5,"四园"
830515,61.16,2111,4,1994,1,6,0.5,"四园"
930516,55.61,2111,4,1981,3,5,0.333,"四园"
830517,52,2111,4,1981,3,5,0.333,"四园"
230518,55.68,2111,4,1981,4,5,0.333,"四园"
130519,55.56,2111,4,1981,3,5,0.333,"四园"
830520,66.83,2111,4,1981,3,5,0.5,"四园"
230521,99.52,3211,4,1993,1,6,0.5,"四园"
930522,66.83,2111,4,1981,4,5,0.5,"四园"
